-0:34	corg	おっさんたのしみ
-0:34	ゆういち	しおっさんが観られると聞いて
-0:32	イタチたち	来たよー
-0:31	長文コメント書き阿佐企画	あ、しおしお、なのか、ごめんなさい
-0:31	ムラ	しおしお♡(∩ˊ꒳​ˋ∩)♡
-0:31	みーや	しおしおしてきた
-0:31	こじげん	ドリクラと栞桜ちゃん……なにも起きないはずもなく……
-0:30	ろき	しおっさん楽しみ
-0:30	O B	しおしおしてきた
-0:28	8 d	動画タイトルの段階で栞桜っさん	￥200
-0:28	いっちゃん	しおしお
-0:28	たけどーら	しおっさんは誰を指名するのか
-0:27	ぶたどん	きちゃ
-0:26	ザッハトルテ。	しおしお
-0:26	飛鳥	しお…しお…
-0:23	アトス	しおっさん待機
-0:23	ばどらび	しおしおしお
-0:23	hsn	しおしおしてきた
-0:23	No Name	しおしおしてきた
-0:20	グラン	待機
-0:20	溶けた氷枕		￥500
-0:19	なーく	いい笑顔です
-0:18	かme	待機
-0:18	もるぽん	ぴゅあしお
-0:18	グレブナー基底	しお…しお…
-0:16	sakura mituki	しおしおしてきた
-0:16	月刊アフロ	アフターは飯食って終わりです
-0:15	ぷらぐ	🌸
-0:14	ぶたどん	きちゃちゃの茶
-0:14	K Tony	しおしお
-0:13	そぃそーす	しおしおしてきた
-0:13	斎藤	しおしおしてきた🌸
-0:10	ねこねこ	しおしお
-0:10	ReiJougasaki	パチンコで生計立てそう
-0:09	めたるチクワ	待機
-0:08	のりほしゅ	しおやじ、今日はどの嬢がいいんだい？
-0:08	バンキッシャーVIII	こんばんはー
-0:07	じゃがまきぃ	待機
-0:06	Fumy H	しおしお
-0:05	omi	しお……しお……
-0:05	ゆさ石奏	しお…しお…
-0:04	ばどらび	もうすでに期待大
-0:03	ビヤラパラ	いい笑顔だ
-0:02	おかしろ	しお...しお...
-0:02	ほよよ	きっと清楚な配信になるんだろうなぁ
-0:01	なす	たのしみ！！！！！
-0:01	23びーむ BEAM	来る…!!
0:00	春季限定のりしお風味	いいサムネなんだけどなぁ‥！
0:00	ゆういち	しおしお……
0:00	ちべ	しお・・しお・・・
0:02	缶こーひー	しおしおしてきた
0:07	Flanve F	キター
0:08	柊真コト	そろそろかな
0:08	しおかの推し床フロンターレ	しお
0:08	神無月健二	しおしおしてきた
0:09	あまなつみかん	こんばんはー
0:09	くぅくぅ	ぎゃー！オッサーン！
0:10	とき	きちゃあああああ
0:11	ひっきー	アフターは半荘
0:11	おは	こんばんは
