2020/04/09 22:21:22.185	メガゴリラ	ペンチャン祭りや	
2020/04/09 22:21:23.720	星川スキー	あ	
2020/04/09 22:21:24.154	わたいるん!	あ	
2020/04/09 22:21:24.518	nekoya3gyo	三色は遅そう	
2020/04/09 22:21:25.018	黒猫のヴィオ	あー...	
2020/04/09 22:21:25.238	月の樹	456に切り替えていく	
2020/04/09 22:21:25.500	como ruu	よくあるペンチャン地獄	
2020/04/09 22:21:25.578	醤油砂糖	あるあるー	
2020/04/09 22:21:25.848	アイリス	あー	
2020/04/09 22:21:26.124	ハクトウ	裏目った	
2020/04/09 22:21:26.771	カレーうどん	先生は初対面やったから…	
2020/04/09 22:21:26.427	やまぶどう	うわー	
2020/04/09 22:21:27.118	かえるライダー	草	
2020/04/09 22:21:28.059	のーれっじ	まぁ奈羅花ちゃんぐんみちより理解してるしな	
2020/04/09 22:21:28.075	ザッハトルテ。	草	
2020/04/09 22:21:28.247	りべ	その人信頼してる人ほど対応が塩になるから	
2020/04/09 22:21:28.545	司令_つかされい	３色で鳴くか	
2020/04/09 22:21:28.714	ぬくれあ	ざまーみろー	
2020/04/09 22:21:28.716	ひっきー	ｳ"ｯ"	
2020/04/09 22:21:28.577	メイダイン	裏目は仕方ない	
2020/04/09 22:21:29.020	あのんまのん	ざまぁみろｗ	
2020/04/09 22:21:29.156	こでまり	これ、まだどう森やってんな・・・	
2020/04/09 22:21:29.121	琵琶丸	かぶったか・・・	
2020/04/09 22:21:29.178	FJK エンタメ	ダブ東バイバイ	
2020/04/09 22:21:29.625	ボンクラ	456かと思った	
2020/04/09 22:21:29.532	ばどらっく	煽るんかいｗｗ	
2020/04/09 22:21:29.775	りせき	あ	
2020/04/09 22:21:30.450	やあけ	容赦なしw	
2020/04/09 22:21:30.146	しおかの推し床フロンターレ	裏目	
2020/04/09 22:21:31.310	nyatra	扱い雑になるほど親しい	
2020/04/09 22:21:32.192	テレサ信者	裏目ぇ	
2020/04/09 22:21:32.482	電撃奇人	ひっど	
2020/04/09 22:21:32.952	ちゃぼうず_cyabouzu	ナチュナルにひでええｗ	
2020/04/09 22:21:33.446	サナ	煽るな	
2020/04/09 22:21:34.346	Astral Clover	草	
2020/04/09 22:21:34.882	シヴァ村卯月	三色遠いから見なくていいかもね	
2020/04/09 22:21:34.956	かぷ	萬子か筒子の89払いたいなあ	
2020/04/09 22:21:35.236	真珠	裏目った…！	
2020/04/09 22:21:35.614	FJK エンタメ	ざまぁは草	
2020/04/09 22:21:35.934	天狗の軍手	7mの二度受けがきつい	
2020/04/09 22:21:36.036	フォウマルハウト	東はもうないからね、ドラ表示に一枚あった	
2020/04/09 22:21:36.699	零	あら	
2020/04/09 22:21:37.241	・ぱーそなる	ｗｗｗ	
2020/04/09 22:21:37.636	嘘800	草	
2020/04/09 22:21:37.611	日神巫言	裏目った	
2020/04/09 22:21:38.034	がばい水筒	ざまーみろーw	
